company_name,domain,format,source,confidence,updated_at
mdg,mdg.agency,{first},inferred,high,2026-03-14T16:14:05.700Z
Meadowlark Media,meadowlark-media.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
Mediaboom Hotel Marketing Agency,mediaboom.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
Media Grabbers,mediagrabbers.com,{first},inferred,high,2026-03-14T16:14:05.700Z
MediaVision Creative,mediavisioncreative.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
MEISTER,meister.tv,{first},inferred,high,2026-03-14T16:14:05.700Z
Melon Pan Media,melonpanmedia.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
Menace Studios,menacestudios.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
Metacademy,metacademy.it,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
"MGH, Inc.",mghus.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
MH Media Strategies,mhmediastrategies.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Millennial Marketing Agency,millennialmarketingag.com,{first},inferred,high,2026-03-14T16:14:05.700Z
"MillerVolpe, Inc.",millervolpe.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
MKR,mkragency.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
"MLC Expert Consulting, LLC | Top Marketing Agency",mlcexpert.com,{first},inferred,high,2026-03-14T16:14:05.700Z
MMTH Studio,mmth.co,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
MINDS + ASSEMBLY,mna.co,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
MONDIAL,mndl.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
Midnight Oil,moagency.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
Mob Scene,mobscene.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
MOCEAN,moceanla.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Moms First,momsfirst.us,{first},inferred,high,2026-03-14T16:14:05.700Z
MRM,mrm.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
MikeWorldWide,mww.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
NantStudios,nantstudios.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
FCBCURE | An IPG Health Company,neon-nyc.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
Nice + Company,niceandcompany.com,{first}{last},inferred,high,2026-03-14T16:14:05.700Z
nice&frank,niceandfrank.com,{first}_{last},inferred,high,2026-03-14T16:14:05.700Z
Nice Shoes,niceshoes.com,{f}{l},inferred,high,2026-03-14T16:14:05.700Z
NirAndFar.com,nirandfar.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Normal. (Production Company I Creative Agency),normal.tv,{first},inferred,high,2026-03-14T16:14:05.700Z
Notion,notion.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
Ntropic,ntropic.com,{first}{l},inferred,high,2026-03-14T16:14:05.700Z
OC Creative,occreates.com,{first},inferred,high,2026-03-14T16:14:05.700Z
october.tv,october.tv,{f}{l},inferred,high,2026-03-14T16:14:05.700Z
OGK Creative,ogkcreative.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
"Ok, Friend.",okfriend.work,{first},inferred,high,2026-03-14T16:14:05.700Z
Okperfect,okperfect.com,{first},inferred,high,2026-03-14T16:14:05.700Z
ON BRAND Creative Agency,onbrandca.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
One More Game,onemoregame.com,{first},inferred,high,2026-03-14T16:14:05.700Z
OneTen Creative,oneten-creative.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
RF Studio53,osmosisfilms.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Otis Elevator Co.,otis.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Out of Home Creative,outofhomecreative.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Pace,paceco.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Party Land,partyland.co,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Pennant Video,pennant.video,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
Percival and Associates,percivalandassociates.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Marketing Agency,piscesholding.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Pivot Design,pivotdesign.com,{first},inferred,high,2026-03-14T16:14:05.700Z
"Pixallure Design, LLC",pixallure.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
Pixel Farm,pixelfarm.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
Planet Super Studios,planetsuperstudios.com,{first},inferred,high,2026-03-14T16:14:05.700Z
"PLAYLAB, INC.",playlab.org,{first},inferred,high,2026-03-14T16:14:05.700Z
PodiumCraft,podiumcraft.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
Porygon Studios LLC,porygonstudios.com,{f}.{last},inferred,high,2026-03-14T16:14:05.700Z
Potion Projects,potionprojects.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Practice Builders,practicebuilders.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
Praytell,praytellagency.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Preston Spire,prestonspire.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
Process Creative,processcreative.co,{first},inferred,high,2026-03-14T16:14:05.700Z
Production Club,production.club,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
PROPELLER,propellercommunicates.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
Prosek Partners,prosek.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
"Public School, creative studio",public-school.com,{last},inferred,high,2026-03-14T16:14:05.700Z
Publicis Health,publicishealth.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
Q.Digital,q.digital,{first},inferred,high,2026-03-14T16:14:05.700Z
Racepoint Global,racepointglobal.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
RadicalMedia,radicalmedia.com,{last},inferred,high,2026-03-14T16:14:05.700Z
Radley Studios,radleystudios.tv,{first},inferred,high,2026-03-14T16:14:05.700Z
RallyCry,rallycry.agency,{first},inferred,high,2026-03-14T16:14:05.700Z
Rambow Studio,rambow.studio,{first},inferred,high,2026-03-14T16:14:05.700Z
Real Original,realoriginal.co,{first},inferred,high,2026-03-14T16:14:05.700Z
RECOGNIZE,recognize.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
redGiant Creative™,redgiantcreative.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
The Retail Doctor®,retaildoc.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Rhubarb,rhubarbagency.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Rightmind Advertising,rightmindads.com,{first},inferred,high,2026-03-14T16:14:05.700Z
RITTA,ritta.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Rock Creek Productions,rock-creek.com,{first},inferred,high,2026-03-14T16:14:05.700Z
ROJEK Consulting,rojekconsulting.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
Rosewood Creative,rosewoodcreative.com,{f}{l},inferred,high,2026-03-14T16:14:05.700Z
Roundhouse,roundhouseagency.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
Royal Ink,royalinkdesign.com,{first},inferred,high,2026-03-14T16:14:05.700Z
RP3 Agency,rp3agency.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
RPA,rpa.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
RSM | Retail Sports Marketing,rsmbiz.com,{first}{l},inferred,high,2026-03-14T16:14:05.700Z
Red Tettemer O'Connell + Partners,rtop.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
Rule29,rule29.com,{first},inferred,high,2026-03-14T16:14:05.700Z
RXMOSAIC,rxmosaic.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Ryan Saghian Interior Design Studio,ryansaghian.com,{first},inferred,high,2026-03-14T16:14:05.700Z
SARANKCO: Creative Studio,sarankco.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Sawhorse Productions,sawhorsela.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Saywhat,saywhat.ai,{first},inferred,high,2026-03-14T16:14:05.700Z
SCAD Media,scad-media.com,{first},inferred,high,2026-03-14T16:14:05.700Z
The Scott & Miller Group,scottandmiller.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Scout Digital,scoutdigital.co,{first},inferred,high,2026-03-14T16:14:05.700Z
Scribewise,scribewise.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Select,selectdesign.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
Seven Seven Six 7️⃣7️⃣6️⃣,sevensevensix.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
Powerplay Design Studio,sfpowerplay.com,{first},inferred,high,2026-03-14T16:14:05.700Z
SGW Integrated Marketing,sgw.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
Shark Communications,sharkcomm.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
SheStrikes,shestrikes.co,{first},inferred,high,2026-03-14T16:14:05.700Z
Shinebox,shinebox.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Shine United,shineunited.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
"Show Imaging, Inc.",showimaging.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
SHRM,shrm.org,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Simple Concepts,simple-concepts.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Simply180,simply180.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Skycar Creative,skycar.tv,{first},inferred,high,2026-03-14T16:14:05.700Z
Steve LeVine Entertainment & Public Relations,slentertainment.com,{first},inferred,high,2026-03-14T16:14:05.700Z
SOS,sos.work,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
SPACEJUNK,spacejunk.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
SPARK,spark.us,{first},inferred,high,2026-03-14T16:14:05.700Z
Spool,spoolmarketing.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Spot Content Studio,spot.studio,{first},inferred,high,2026-03-14T16:14:05.700Z
Square Melon Communications,squaremelon.com,{first},inferred,high,2026-03-14T16:14:05.700Z
StackCommerce,stackcommerce.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
STADIUM,stadiumcreativegroup.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Stage3 Agency / S3 MediaWorks,stage3agency.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Standard Wonder Group,standardwonder.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Steelhead.TV,steelhead.tv,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Stellar Hawk,stellarhawk.tv,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
Stephens Direct,stephensdirect.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Stept Studios,steptstudios.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Studio490 Digital Marketing,studio490.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Studio Dwell | Interior Design Studio | Luxury Home & Commercial Design,studiodwell.net,{first}.{l},inferred,high,2026-03-14T16:14:05.700Z
Studio Eight MN,studioeightmn.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
Studio Luniste | Photo + Video,studioluniste.com,{first},inferred,high,2026-03-14T16:14:05.700Z
"Substance Media, Inc.",substance.agency,{first},inferred,high,2026-03-14T16:14:05.700Z
SuperBloom House,superbloomhouse.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Superconductor®,superconductor.tv,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
SUPERCOOL CREATIVE AGENCY - FUNNY TV AND VIDEO ADS!,supercoolcreative.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Swanson Russell,swansonrussell.com,{first}{l},inferred,high,2026-03-14T16:14:05.700Z
Swanson Studio,swansonstudio.us,{first},inferred,high,2026-03-14T16:14:05.700Z
Swing Set Productions,swingsetproductions.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Todd Allen Design,tadesign.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
TAG Strategies,tagstrategies.co,{last},inferred,high,2026-03-14T16:14:05.700Z
Take7 Productions,take7productions.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
Taoti Creative,taoti.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
TariffNinja,tariffninja.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Tatanka Creative LLC,tatankacreative.com,{first},inferred,high,2026-03-14T16:14:05.700Z
TBWA\Chiat\Day,tbwachiatday.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
Two Doors Down Productions,tdd.productions,{first},inferred,high,2026-03-14T16:14:05.700Z
"Tom, Dick & Harry",tdhcreative.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
Conan,teamcoco.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Highwire,teamhighwire.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Team One,teamone-usa.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Team Whistle,teamwhistle.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
Team Win Studios,teamwinstudios.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Tenova LLC,tenovallc.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Tension Division,tensiondivision.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
Ten Stories,tenstories.com,{first},inferred,high,2026-03-14T16:14:05.700Z
"The Ad Agency, LLC",theadpros.com,{first},inferred,high,2026-03-14T16:14:05.700Z
The Barn - A Creative Branding Agency,thebarncreative.org,{first},inferred,high,2026-03-14T16:14:05.700Z
BOYER,theboyers.co,{first},inferred,high,2026-03-14T16:14:05.700Z
The Creative Block,thecreativeblock.marketing,{first},inferred,high,2026-03-14T16:14:05.700Z
The Cyphers Agency,thecyphersagency.com,{first},inferred,high,2026-03-14T16:14:05.700Z
THE DISTILLERY | Creative Agency,thedistillery.us,{first},inferred,high,2026-03-14T16:14:05.700Z
Ferguson,theferg.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
The Forge,theforge-media.com,{first},inferred,high,2026-03-14T16:14:05.700Z
The Goondocks,thegoondocks.tv,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
The Honos Group,thehonosgroup.com,{first},inferred,high,2026-03-14T16:14:05.700Z
The Marketing Machine,themmachine.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Theory Ventures,theoryvc.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
The Shop,theshopagency.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Signal Factory,thesignalfactory.com,{first},inferred,high,2026-03-14T16:14:05.700Z
TWINOAKS,thetwinoaks.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
ThinkSpark Inc.,thinksparkinc.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Digital Kitchen,thisisdk.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
OBERLAND,thisisoberland.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Outcast,thisisoutcast.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
Tic Toc Games,tictocgames.com,{first},inferred,high,2026-03-14T16:14:05.700Z
TINY HERO,tinyhero.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
TNH Ad Agency,tnhagency.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
toddstreet,toddstreet.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
Tombras,tombras.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
Toy Robot Media,toyrobotmedia.com,{first},inferred,high,2026-03-14T16:14:05.700Z
The People's Creative Agency,tpcagency.co,{first},inferred,high,2026-03-14T16:14:05.700Z
Trailer Park Group,trailerparkgroup.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
TRG Multimedia,trgmultimedia.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
Triglass Productions,triglassproductions.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
Trio Solutions Inc. (TRIO),trio-solutions.com,{first},inferred,high,2026-03-14T16:14:05.700Z
TriVision,trivision.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Trollbäck+Company,trollback.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Triple Threat Communications,ttchealth.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
TUX,tux.co,{first},inferred,high,2026-03-14T16:14:05.700Z
Two Fresh Creative,twofresh.tv,{first},inferred,high,2026-03-14T16:14:05.700Z
Tyler Perry Studios,tylerperry.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
Uber,uber.com,{f}{l},inferred,high,2026-03-14T16:14:05.700Z
Umault,umault.com,{first},inferred,high,2026-03-14T16:14:05.700Z
United States Olympic & Paralympic Committee,usopc.org,{first}.{l},inferred,high,2026-03-14T16:14:05.700Z
U.S. Department of Veterans Affairs,va.gov,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
VehicleSF,vehiclesf.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Paramount Brand Studio,velocityparamount.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
Veneer Studio,veneerstudio.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Verken,verken.co,{first},inferred,high,2026-03-14T16:14:05.700Z
Veronica Studio + Production,veronica.studio,{first},inferred,high,2026-03-14T16:14:05.700Z
VFX Direct | Creative Agency,vfxdirect.com,{first},inferred,high,2026-03-14T16:14:05.700Z
VISION MILLENNIUM,visionmillennium.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
Visualeyes,visualeyes.agency,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
VNM USA,vnmusa.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
Walton Isaacson,waltonisaacson.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Warm & Fuzzy,warmnfuzzy.tv,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
Ways & Means,ways-means.co,{first},inferred,high,2026-03-14T16:14:05.700Z
Archer,wearearcher.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
Cheeky,wearecheeky.agency,{first},inferred,high,2026-03-14T16:14:05.700Z
Heartbeat,weareheartbeat.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
MANUFACTURE,wearemanufacture.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Moon Rabbit,wearemoonrabbit.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
NOX Media,wearenox.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Toilet Paper Concept Shop,wearetoiletpaper.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Weekend Fund,weekend.fund,{first},inferred,high,2026-03-14T16:14:05.700Z
Weekend Post House,weekendposthouse.com,{first},inferred,high,2026-03-14T16:14:05.700Z
What's Really Possible,whatsreallypossible.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Whitebox Design Agency,whiteboxagency.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Wilderness™,wildernessoffice.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
Wildlife,wildlife.la,{first},inferred,high,2026-03-14T16:14:05.700Z
Wildtype Health,wildtypehealth.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
NetworkAI by Wonsulting,wonsulting.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Workshop Creative,workshopcreative.net,{first},inferred,high,2026-03-14T16:14:05.700Z
Woven Health Collective,wovenhc.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
The Wright Group,wrightgroupusa.com,{first}{l},inferred,high,2026-03-14T16:14:05.700Z
WTBR (Where The Buffalo Roam),wtbr.tv,{first},inferred,high,2026-03-14T16:14:05.700Z
Xavier Creative House (XCH),xaviercreative.com,{first}.{last},fallback,low,2026-03-14T15:56:21.412Z
XPLR.NASH,xplrnash.com,{first},inferred,high,2026-03-14T16:14:05.700Z
XVP Studios,xvpstudios.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Yes& Agency,yesandagency.com,{f}{last},inferred,high,2026-03-14T16:14:05.700Z
Mindset Masters Marketing Agency,youbelongstrong.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Youtech,youtechagency.com,{first},inferred,high,2026-03-14T16:14:05.700Z
Young & Rubicam,yr.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
Zeax Creative Agency,zeax.co,{first},inferred,high,2026-03-14T16:14:05.700Z
Zimmer Biomet,zimmerbiomet.com,{first}.{last},inferred,high,2026-03-14T16:14:05.700Z
